n,score,k,angle_0,angle_1,dir_1,angle_2,dir_2
154,0.4151389212164296,2,7.143350241162587,179.91546316064267,70.5763089878118,,
155,0.4176957812566467,2,102.60970971432812,72.9889870842257,140.87282988968533,,
156,0.4150182441973092,2,102.60970971432812,72.9889870842257,140.87282988968533,,
157,0.41237481589031993,2,102.60970971432812,72.9889870842257,140.87282988968533,,
158,0.4097648487011407,2,102.60970971432812,72.9889870842257,140.87282988968533,,
159,0.407187711287926,2,102.60970971432812,72.9889870842257,140.87282988968533,,
160,0.40464278809237647,2,102.60970971432812,72.9889870842257,140.87282988968533,,
161,0.4000664824588636,2,106.52547198661993,75.27673026003583,38.75957318107889,,
162,0.39759693627084597,2,106.52547198661993,75.27673026003583,38.75957318107889,,
163,0.418079416805947,2,5.0,175.0,70.0,,
164,0.41553015206932536,2,5.0,175.0,70.0,,
165,0.41301178751132944,2,5.0,175.0,70.0,,
166,0.4105237646949962,2,5.0,175.0,70.0,,
167,0.408065538559098,2,5.0,175.0,70.0,,
168,0.40563657702005573,2,5.0,175.0,70.0,,
169,0.40554402319299404,2,0.0,180.0,115.0,,
170,0.4031584701153882,2,0.0,180.0,115.0,,
171,0.4008008182433684,2,0.0,180.0,115.0,,
172,0.3984705809279999,2,0.0,180.0,115.0,,
173,0.39616728277234675,2,0.0,180.0,115.0,,
174,0.3938904593081379,2,0.0,180.0,115.0,,
175,0.3916396566835199,2,0.0,180.0,115.0,,
176,0.3894144313614545,2,0.0,180.0,115.0,,
177,0.39302470092371977,2,110.0,70.0,150.0,,
178,0.39081669698594607,2,110.0,70.0,150.0,,
179,0.3886333634832313,2,110.0,70.0,150.0,,
180,0.3864742892416578,2,110.0,70.0,150.0,,
181,0.4188701988071823,2,0.0,180.0,110.0,,
182,0.4165687141983516,2,0.0,180.0,110.0,,
183,0.41429238242677596,2,0.0,180.0,110.0,,
184,0.41204079339184785,2,0.0,180.0,110.0,,
185,0.40981354586,2,0.0,180.0,110.0,,
186,0.4076102472263441,2,0.0,180.0,110.0,,
187,0.40543051328395724,2,0.0,180.0,110.0,,
188,0.4032739680005319,2,0.0,180.0,110.0,,
189,0.4011402433021164,2,0.0,180.0,110.0,,
190,0.3990289788636842,2,0.0,180.0,110.0,,
191,0.39693982190628274,2,0.0,180.0,110.0,,
192,0.39487242700052083,2,0.0,180.0,110.0,,
193,0.406078762445913,2,106.49511260105083,74.70912460706487,39.380426751644606,,
194,0.40398557294876913,2,106.49511260105083,74.70912460706487,39.380426751644606,,
195,0.4019138520618524,2,106.49511260105083,74.70912460706487,39.380426751644606,,
196,0.3998632711839858,2,106.49511260105083,74.70912460706487,39.380426751644606,,
197,0.39783350838609755,2,106.49511260105083,74.70912460706487,39.380426751644606,,
198,0.3958242482427334,2,106.49511260105083,74.70912460706487,39.380426751644606,,
199,0.3956310792526234,2,116.21807270630174,63.079061552257905,151.3639843149513,,
200,0.3936529238563603,2,116.21807270630174,63.079061552257905,151.3639843149513,,
